module,type,name,res_id,src,value,comments
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (MX) / Español (MX),Spanish (MX) / Español (MX),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (PA) / Español (PA),Spanish (PA) / Español (PA),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (PE) / Español (PE),Spanish (PE) / Español (PE),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (PY) / Español (PY),Spanish (PY) / Español (PY),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (UY) / Español (UY),Spanish (UY) / Español (UY),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (VE) / Español (VE),Spanish (VE) / Español (VE),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish / Español,Spanish / Español,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_state,State,Estado,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_state,State,Estado,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_state,State,Estado,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_storage_exceed,Storage limit has been exceed,O limite de armazenamento foi excedido,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_period_paid,Subscribed period (paid days),Período subscrito (dias pagos),
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Subscription Log (manual changes only),Registro de subscrição (apenas mudanças manuais),
saas_portal,model,"mail.message.subtype,description",saas_portal.mt_expired,Subscription expired,Subscrição Expirada,
saas_portal,model,"mail.message.subtype,name",saas_portal.mt_expired,Subscription expired,Subscrição Expirada,
saas_portal,model,"mail.message.subtype,name",saas_portal.mt_support_team_expired,Subscription expired,Subscrição Expirada,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_subscription_log_ids,Subscription log ids,Log ids da Subscrição,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_subscription_start,Subscription start,Subscrição Começou,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Subsctiption Log,Log da Subscrição,
